game_pk,season,game_date,game_datetime_utc,game_type,status,day_night,double_header,venue_id,venue_name,home_team_id,home_team_name,away_team_id,away_team_name,home_probable_pitcher_id,home_probable_pitcher_name,away_probable_pitcher_id,away_probable_pitcher_name,innings_recorded,first_inning_runs_away,first_inning_runs_home
718767,2023,2023-03-30,2023-03-31T02:10:00Z,R,Final,night,N,680,T-Mobile Park,136,Seattle Mariners,114,Cleveland Guardians,622491,Luis Castillo,669456.0,Shane Bieber,9,0,0
718768,2023,2023-03-30,2023-03-30T23:08:00Z,R,Final,night,N,2392,Minute Maid Park,117,Houston Astros,145,Chicago White Sox,664285,Framber Valdez,656302.0,Dylan Cease,9,0,0
718769,2023,2023-03-30,2023-03-31T02:07:00Z,R,Final,night,N,10,Oakland Coliseum,133,Oakland Athletics,108,Los Angeles Angels,666205,Kyle Muller,660271.0,Shohei Ohtani,9,0,0
718770,2023,2023-03-30,2023-03-31T02:10:00Z,R,Final,night,N,22,Dodger Stadium,119,Los Angeles Dodgers,109,Arizona Diamondbacks,628711,Julio Urías,668678.0,Zac Gallen,9,1,0
718772,2023,2023-03-30,2023-03-30T20:10:00Z,R,Final,day,N,2889,Busch Stadium,138,St. Louis Cardinals,141,Toronto Blue Jays,571945,Miles Mikolas,666201.0,Alek Manoah,9,3,1
718773,2023,2023-03-30,2023-03-30T20:10:00Z,R,Final,day,N,2602,Great American Ball Park,113,Cincinnati Reds,134,Pittsburgh Pirates,668881,Hunter Greene,656605.0,Mitch Keller,9,0,1
718774,2023,2023-03-30,2023-03-30T20:10:00Z,R,Final,day,N,4169,loanDepot park,146,Miami Marlins,121,New York Mets,645261,Sandy Alcantara,453286.0,Max Scherzer,9,0,0
718775,2023,2023-03-30,2023-03-30T20:10:00Z,R,Final,day,N,7,Kauffman Stadium,118,Kansas City Royals,142,Minnesota Twins,425844,Zack Greinke,641154.0,Pablo López,9,0,0
718776,2023,2023-03-30,2023-03-30T19:10:00Z,R,Final,day,N,12,Tropicana Field,139,Tampa Bay Rays,116,Detroit Tigers,663556,Shane McClanahan,593958.0,Eduardo Rodriguez,9,0,0
718777,2023,2023-03-30,2023-03-30T18:20:00Z,R,Final,day,N,17,Wrigley Field,112,Chicago Cubs,158,Milwaukee Brewers,573186,Marcus Stroman,669203.0,Corbin Burnes,9,0,0
718778,2023,2023-03-30,2023-03-31T01:40:00Z,R,Final,night,N,2680,Petco Park,135,San Diego Padres,115,Colorado Rockies,605483,Blake Snell,608566.0,Germán Márquez,9,1,1
718779,2023,2023-03-30,2023-03-30T20:05:00Z,R,Final,day,N,5325,Globe Life Field,140,Texas Rangers,143,Philadelphia Phillies,594798,Jacob deGrom,605400.0,Aaron Nola,9,0,0
718780,2023,2023-03-30,2023-03-30T17:05:00Z,R,Final,day,N,3309,Nationals Park,120,Washington Nationals,144,Atlanta Braves,571578,Patrick Corbin,608331.0,Max Fried,9,0,0
718781,2023,2023-03-30,2023-03-30T17:05:00Z,R,Final,day,N,3313,Yankee Stadium,147,New York Yankees,137,San Francisco Giants,543037,Gerrit Cole,657277.0,Logan Webb,9,0,1
718782,2023,2023-03-30,2023-03-30T18:10:00Z,R,Final,day,N,3,Fenway Park,111,Boston Red Sox,110,Baltimore Orioles,446372,Corey Kluber,502043.0,Kyle Gibson,9,1,1
718763,2023,2023-03-31,2023-04-01T02:10:00Z,R,Final,night,N,680,T-Mobile Park,136,Seattle Mariners,114,Cleveland Guardians,592662,Robbie Ray,683769.0,Hunter Gaddis,9,0,1
718764,2023,2023-03-31,2023-04-01T00:10:00Z,R,Final,night,N,2392,Minute Maid Park,117,Houston Astros,145,Chicago White Sox,664299,Cristian Javier,458681.0,Lance Lynn,9,1,0
718765,2023,2023-03-31,2023-04-01T02:10:00Z,R,Final,night,N,22,Dodger Stadium,119,Los Angeles Dodgers,109,Arizona Diamondbacks,669160,Dustin May,518876.0,Merrill Kelly,9,0,0
718766,2023,2023-03-31,2023-04-01T01:40:00Z,R,Final,night,N,2680,Petco Park,135,San Diego Padres,115,Colorado Rockies,607259,Nick Martinez,607536.0,Kyle Freeland,9,2,0
718771,2023,2023-03-31,2023-03-31T22:40:00Z,R,Final,night,N,4169,loanDepot park,146,Miami Marlins,121,New York Mets,666200,Jesús Luzardo,656849.0,David Peterson,9,0,0
718746,2023,2023-04-01,2023-04-02T01:40:00Z,R,Final,night,N,680,T-Mobile Park,136,Seattle Mariners,114,Cleveland Guardians,669302,Logan Gilbert,650644.0,Aaron Civale,9,0,0
718749,2023,2023-04-01,2023-04-02T01:10:00Z,R,Final,night,N,22,Dodger Stadium,119,Los Angeles Dodgers,109,Arizona Diamondbacks,477132,Clayton Kershaw,518516.0,Madison Bumgarner,9,0,5
718750,2023,2023-04-01,2023-04-02T00:40:00Z,R,Final,night,N,2680,Petco Park,135,San Diego Padres,115,Colorado Rockies,608379,Michael Wacha,570632.0,José Ureña,9,0,2
718751,2023,2023-04-01,2023-04-01T20:10:00Z,R,Final,day,N,7,Kauffman Stadium,118,Kansas City Royals,142,Minnesota Twins,543475,Jordan Lyles,543243.0,Sonny Gray,9,1,0
718752,2023,2023-04-01,2023-04-01T20:05:00Z,R,Final,day,N,5325,Globe Life Field,140,Texas Rangers,143,Philadelphia Phillies,543135,Nathan Eovaldi,554430.0,Zack Wheeler,9,0,2
718753,2023,2023-04-01,2023-04-01T20:05:00Z,R,Final,day,N,3309,Nationals Park,120,Washington Nationals,144,Atlanta Braves,680686,Josiah Gray,675911.0,Spencer Strider,9,2,0
718754,2023,2023-04-01,2023-04-01T20:10:00Z,R,Final,day,N,12,Tropicana Field,139,Tampa Bay Rays,116,Detroit Tigers,621107,Zach Eflin,605513.0,Spencer Turnbull,9,0,1
718755,2023,2023-04-01,2023-04-01T20:10:00Z,R,Final,day,N,4169,loanDepot park,146,Miami Marlins,121,New York Mets,665795,Edward Cabrera,656731.0,Tylor Megill,9,0,0
718756,2023,2023-04-01,2023-04-01T20:10:00Z,R,Final,day,N,2602,Great American Ball Park,113,Cincinnati Reds,134,Pittsburgh Pirates,666157,Nick Lodolo,448179.0,Rich Hill,9,1,3
718757,2023,2023-04-01,2023-04-01T20:07:00Z,R,Final,day,N,10,Oakland Coliseum,133,Oakland Athletics,108,Los Angeles Angels,660261,Shintaro Fujinami,663776.0,Patrick Sandoval,9,0,0
718758,2023,2023-04-01,2023-04-01T18:20:00Z,R,Final,day,N,17,Wrigley Field,112,Chicago Cubs,158,Milwaukee Brewers,657006,Justin Steele,605540.0,Brandon Woodruff,9,0,0
718759,2023,2023-04-01,2023-04-01T18:15:00Z,R,Final,day,N,2889,Busch Stadium,138,St. Louis Cardinals,141,Toronto Blue Jays,656427,Jack Flaherty,592332.0,Kevin Gausman,9,0,0
718760,2023,2023-04-01,2023-04-01T18:10:00Z,R,Final,day,N,2392,Minute Maid Park,117,Houston Astros,145,Chicago White Sox,664353,José Urquidy,608337.0,Lucas Giolito,9,0,2
718761,2023,2023-04-01,2023-04-01T20:10:00Z,R,Final,day,N,3,Fenway Park,111,Boston Red Sox,110,Baltimore Orioles,519242,Chris Sale,665152.0,Dean Kremer,9,3,0
718762,2023,2023-04-01,2023-04-01T20:05:00Z,R,Final,day,N,3313,Yankee Stadium,147,New York Yankees,137,San Francisco Giants,657376,Clarke Schmidt,502171.0,Alex Cobb,9,0,1
718733,2023,2023-04-02,2023-04-02T20:10:00Z,R,Final,day,N,2680,Petco Park,135,San Diego Padres,115,Colorado Rockies,607625,Seth Lugo,596295.0,Austin Gomber,9,0,0
718734,2023,2023-04-02,2023-04-02T20:07:00Z,R,Final,day,N,10,Oakland Coliseum,133,Oakland Athletics,108,Los Angeles Angels,686610,Ken Waldichuk,542881.0,Tyler Anderson,9,0,0
718735,2023,2023-04-02,2023-04-02T20:10:00Z,R,Final,day,N,680,T-Mobile Park,136,Seattle Mariners,114,Cleveland Guardians,594835,Marco Gonzales,615698.0,Cal Quantrill,10,0,1
718736,2023,2023-04-02,2023-04-02T20:10:00Z,R,Final,day,N,22,Dodger Stadium,119,Los Angeles Dodgers,109,Arizona Diamondbacks,592789,Noah Syndergaard,605200.0,Zach Davies,9,0,1
718737,2023,2023-04-02,2023-04-02T18:15:00Z,R,Final,day,N,2889,Busch Stadium,138,St. Louis Cardinals,141,Toronto Blue Jays,656756,Jordan Montgomery,605135.0,Chris Bassitt,9,0,4
718738,2023,2023-04-02,2023-04-02T18:20:00Z,R,Final,day,N,17,Wrigley Field,112,Chicago Cubs,158,Milwaukee Brewers,592791,Jameson Taillon,641778.0,Eric Lauer,9,0,1
718739,2023,2023-04-02,2023-04-02T23:08:00Z,R,Final,night,N,5325,Globe Life Field,140,Texas Rangers,143,Philadelphia Phillies,527048,Martín Pérez,663559.0,Bailey Falter,9,0,0
718740,2023,2023-04-02,2023-04-02T18:10:00Z,R,Final,day,N,2392,Minute Maid Park,117,Houston Astros,145,Chicago White Sox,677651,Luis Garcia,605182.0,Mike Clevinger,9,0,0
718741,2023,2023-04-02,2023-04-02T17:40:00Z,R,Final,day,N,4169,loanDepot park,146,Miami Marlins,121,New York Mets,669432,Trevor Rogers,673540.0,Kodai Senga,9,2,1
718742,2023,2023-04-02,2023-04-02T17:10:00Z,R,Final,day,N,12,Tropicana Field,139,Tampa Bay Rays,116,Detroit Tigers,605488,Jeffrey Springs,666214.0,Joey Wentz,9,0,0
718743,2023,2023-04-02,2023-04-02T17:35:00Z,R,Final,day,N,3309,Nationals Park,120,Washington Nationals,144,Atlanta Braves,669022,MacKenzie Gore,694363.0,Jared Shuster,9,0,4
718744,2023,2023-04-02,2023-04-02T17:40:00Z,R,Final,day,N,2602,Great American Ball Park,113,Cincinnati Reds,134,Pittsburgh Pirates,668933,Graham Ashcraft,592826.0,Vince Velasquez,9,0,0
718745,2023,2023-04-02,2023-04-02T18:10:00Z,R,Final,day,N,7,Kauffman Stadium,118,Kansas City Royals,142,Minnesota Twins,641745,Brad Keller,657746.0,Joe Ryan,9,0,0
718747,2023,2023-04-02,2023-04-02T17:35:00Z,R,Final,day,N,3313,Yankee Stadium,147,New York Yankees,137,San Francisco Giants,666745,Jhony Brito,548389.0,Ross Stripling,9,0,0
718748,2023,2023-04-02,2023-04-02T17:35:00Z,R,Final,day,N,3,Fenway Park,111,Boston Red Sox,110,Baltimore Orioles,656557,Tanner Houck,608344.0,Cole Irvin,9,0,1
718718,2023,2023-04-03,2023-04-04T02:10:00Z,R,Final,night,N,22,Dodger Stadium,119,Los Angeles Dodgers,115,Colorado Rockies,675627,Michael Grove,663372.0,Ryan Feltner,9,0,0
718719,2023,2023-04-03,2023-04-03T23:40:00Z,R,Final,night,N,7,Kauffman Stadium,118,Kansas City Royals,141,Toronto Blue Jays,663903,Brady Singer,621244.0,José Berríos,9,0,3
718720,2023,2023-04-03,2023-04-04T01:40:00Z,R,Final,night,N,680,T-Mobile Park,136,Seattle Mariners,108,Los Angeles Angels,669923,George Kirby,672282.0,Reid Detmers,9,0,1
718721,2023,2023-04-03,2023-04-04T01:40:00Z,R,Final,night,N,10,Oakland Coliseum,133,Oakland Athletics,114,Cleveland Guardians,621076,James Kaprielian,668676.0,Zach Plesac,10,2,1
718722,2023,2023-04-03,2023-04-04T01:40:00Z,R,Final,night,N,2680,Petco Park,135,San Diego Padres,109,Arizona Diamondbacks,677960,Ryan Weathers,669194.0,Ryne Nelson,9,0,2
718723,2023,2023-04-03,2023-04-04T00:10:00Z,R,Final,night,N,2392,Minute Maid Park,117,Houston Astros,116,Detroit Tigers,686613,Hunter Brown,571510.0,Matthew Boyd,11,0,0
718724,2023,2023-04-03,2023-04-03T23:10:00Z,R,Final,night,N,3,Fenway Park,111,Boston Red Sox,134,Pittsburgh Pirates,676710,Kutter Crawford,670912.0,Johan Oviedo,9,3,5
718725,2023,2023-04-03,2023-04-03T23:05:00Z,R,Final,night,N,3313,Yankee Stadium,147,New York Yankees,143,Philadelphia Phillies,641482,Nestor Cortes,592836.0,Taijuan Walker,9,0,2
718726,2023,2023-04-03,2023-04-04T00:05:00Z,R,Final,night,N,5325,Globe Life Field,140,Texas Rangers,110,Baltimore Orioles,592351,Jon Gray,680694.0,Kyle Bradish,9,0,0
718727,2023,2023-04-03,2023-04-03T23:45:00Z,R,Final,night,N,2889,Busch Stadium,138,St. Louis Cardinals,144,Atlanta Braves,663765,Jake Woodford,450203.0,Charlie Morton,9,1,1
718728,2023,2023-04-03,2023-04-03T22:40:00Z,R,Final,night,N,2602,Great American Ball Park,113,Cincinnati Reds,112,Chicago Cubs,656818,Connor Overton,592767.0,Drew Smyly,9,3,3
718729,2023,2023-04-03,2023-04-03T22:40:00Z,R,Final,night,N,4169,loanDepot park,146,Miami Marlins,142,Minnesota Twins,456501,Johnny Cueto,641816.0,Tyler Mahle,9,1,0
718730,2023,2023-04-03,2023-04-03T19:10:00Z,R,Final,day,N,4,Guaranteed Rate Field,145,Chicago White Sox,137,San Francisco Giants,656629,Michael Kopech,543101.0,Anthony DeSclafani,9,0,0
718731,2023,2023-04-03,2023-04-03T18:10:00Z,R,Final,day,N,32,American Family Field,158,Milwaukee Brewers,121,New York Mets,642547,Freddy Peralta,471911.0,Carlos Carrasco,9,0,0
718732,2023,2023-04-03,2023-04-03T23:05:00Z,R,Final,night,N,3309,Nationals Park,120,Washington Nationals,139,Tampa Bay Rays,592866,Trevor Williams,656876.0,Drew Rasmussen,9,2,0
718703,2023,2023-04-04,2023-04-05T02:10:00Z,R,Final,night,N,22,Dodger Stadium,119,Los Angeles Dodgers,115,Colorado Rockies,628711,Julio Urías,608566.0,Germán Márquez,9,0,2
718705,2023,2023-04-04,2023-04-05T00:10:00Z,R,Final,night,N,2392,Minute Maid Park,117,Houston Astros,116,Detroit Tigers,664285,Framber Valdez,666159.0,Matt Manning,9,1,1
718706,2023,2023-04-04,2023-04-05T01:40:00Z,R,Final,night,N,680,T-Mobile Park,136,Seattle Mariners,108,Los Angeles Angels,622491,Luis Castillo,660761.0,José Suarez,9,0,1
718707,2023,2023-04-04,2023-04-05T01:40:00Z,R,Final,night,N,10,Oakland Coliseum,133,Oakland Athletics,114,Cleveland Guardians,676664,JP Sears,669456.0,Shane Bieber,9,0,0
