game_pk,season,game_date,game_datetime_utc,game_type,status,day_night,double_header,venue_id,venue_name,home_team_id,home_team_name,away_team_id,away_team_name,home_probable_pitcher_id,home_probable_pitcher_name,away_probable_pitcher_id,away_probable_pitcher_name,innings_recorded,first_inning_runs_away,first_inning_runs_home
745444,2024,2024-03-20,2024-03-20T10:05:00Z,R,Final,night,N,5150,Gocheok Sky Dome,135,San Diego Padres,119,Los Angeles Dodgers,506433.0,Yu Darvish,607192,Tyler Glasnow,9,0.0,0.0
746175,2024,2024-03-21,2024-03-21T10:05:00Z,R,Final,night,N,5150,Gocheok Sky Dome,119,Los Angeles Dodgers,135,San Diego Padres,808967.0,Yoshinobu Yamamoto,605397,Joe Musgrove,9,5.0,1.0
745039,2024,2024-03-28,2024-03-28T23:35:00Z,R,Final,night,N,5325,Globe Life Field,140,Texas Rangers,112,Chicago Cubs,543135.0,Nathan Eovaldi,657006,Justin Steele,10,0.0,0.0
745116,2024,2024-03-28,2024-03-28T20:10:00Z,R,Final,day,N,12,Tropicana Field,139,Tampa Bay Rays,141,Toronto Blue Jays,621107.0,Zach Eflin,621244,José Berríos,9,0.0,1.0
745283,2024,2024-03-28,2024-03-29T02:10:00Z,R,Final,night,N,680,T-Mobile Park,136,Seattle Mariners,111,Boston Red Sox,622491.0,Luis Castillo,678394,Brayan Bello,9,0.0,0.0
745445,2024,2024-03-28,2024-03-28T20:10:00Z,R,Final,day,N,2680,Petco Park,135,San Diego Padres,137,San Francisco Giants,506433.0,Yu Darvish,657277,Logan Webb,9,0.0,0.0
745687,2024,2024-03-28,2024-03-29T02:07:00Z,R,Final,night,N,10,Oakland Coliseum,133,Oakland Athletics,114,Cleveland Guardians,622072.0,Alex Wood,669456,Shane Bieber,9,0.0,0.0
746089,2024,2024-03-28,2024-03-28T20:10:00Z,R,Final,day,N,4169,loanDepot park,146,Miami Marlins,134,Pittsburgh Pirates,666200.0,Jesús Luzardo,656605,Mitch Keller,12,0.0,0.0
746165,2024,2024-03-28,2024-03-28T20:10:00Z,R,Final,day,N,22,Dodger Stadium,119,Los Angeles Dodgers,138,St. Louis Cardinals,607192.0,Tyler Glasnow,571945,Miles Mikolas,9,0.0,2.0
746335,2024,2024-03-28,2024-03-28T20:10:00Z,R,Final,day,N,7,Kauffman Stadium,118,Kansas City Royals,142,Minnesota Twins,666142.0,Cole Ragans,641154,Pablo López,9,1.0,1.0
746418,2024,2024-03-28,2024-03-28T20:10:00Z,R,Final,day,N,2392,Minute Maid Park,117,Houston Astros,147,New York Yankees,664285.0,Framber Valdez,641482,Nestor Cortes,9,0.0,3.0
746737,2024,2024-03-28,2024-03-28T20:10:00Z,R,Final,day,N,2602,Great American Ball Park,113,Cincinnati Reds,120,Washington Nationals,593423.0,Frankie Montas,680686,Josiah Gray,9,0.0,0.0
746821,2024,2024-03-28,2024-03-28T20:10:00Z,R,Final,day,N,4,Guaranteed Rate Field,145,Chicago White Sox,116,Detroit Tigers,676979.0,Garrett Crochet,669373,Tarik Skubal,9,0.0,0.0
747060,2024,2024-03-28,2024-03-28T19:05:00Z,R,Final,day,N,2,Oriole Park at Camden Yards,110,Baltimore Orioles,108,Los Angeles Angels,669203.0,Corbin Burnes,663776,Patrick Sandoval,9,1.0,2.0
747224,2024,2024-03-28,2024-03-29T02:10:00Z,R,Final,night,N,15,Chase Field,109,Arizona Diamondbacks,115,Colorado Rockies,668678.0,Zac Gallen,607536,Kyle Freeland,9,0.0,2.0
745117,2024,2024-03-29,2024-03-29T22:50:00Z,R,Final,night,N,12,Tropicana Field,139,Tampa Bay Rays,141,Toronto Blue Jays,650644.0,Aaron Civale,605135,Chris Bassitt,9,0.0,0.0
745276,2024,2024-03-29,2024-03-30T01:40:00Z,R,Final,night,N,680,T-Mobile Park,136,Seattle Mariners,111,Boston Red Sox,669923.0,George Kirby,601713,Nick Pivetta,9,0.0,0.0
745435,2024,2024-03-29,2024-03-30T01:40:00Z,R,Final,night,N,2680,Petco Park,135,San Diego Padres,137,San Francisco Giants,605397.0,Joe Musgrove,690986,Kyle Harrison,9,3.0,0.0
745604,2024,2024-03-29,2024-03-29T19:05:00Z,R,Final,day,N,2681,Citizens Bank Park,143,Philadelphia Phillies,144,Atlanta Braves,554430.0,Zack Wheeler,675911,Spencer Strider,9,0.0,0.0
745682,2024,2024-03-29,2024-03-30T01:40:00Z,R,Final,night,N,10,Oakland Coliseum,133,Oakland Athletics,114,Cleveland Guardians,548389.0,Ross Stripling,671106,Logan Allen,9,3.0,0.0
745848,2024,2024-03-29,2024-03-29T17:40:00Z,R,Final,day,N,3289,Citi Field,121,New York Mets,158,Milwaukee Brewers,500779.0,Jose Quintana,642547,Freddy Peralta,9,0.0,0.0
