season,n_games,yrfi_base_rate,log_loss_model,log_loss_baseline,brier_model,brier_baseline,brier_skill_score,roc_auc,mean_predicted_yrfi
2021,2426,0.5037098103874691,0.6963021955218629,0.6934107330657245,0.25153105003892123,0.2501317199532917,-0.005594372780432844,0.5022035114810969,0.5139723164959715
2022,2429,0.48167970358172085,0.6954845877113423,0.6932196800186958,0.25082197413308377,0.2500362124405287,-0.003142591566579478,0.5068484688024005,0.5066095991886663
2023,2429,0.5018526142445451,0.694668830894023,0.6937374041803119,0.2507387678247338,0.25029499624211965,-0.0017729942239232965,0.5273527278151038,0.46570458983289703
2024,2425,0.4672164948453608,0.6946423980353833,0.6918696992198428,0.25035762493604996,0.24936130009555402,-0.003995507081949512,0.5104711183493233,0.501447668055718
2025,2425,0.5014432989690721,0.6997235342800099,0.6937924278725681,0.25281942041564714,0.2503221194553565,-0.009976349536046758,0.5091807333159202,0.4683059402956517
2026,1439,0.5121612230715775,0.6960142909022058,0.6929679548550581,0.25089403475804406,0.2499103925923485,-0.003935979434436909,0.5056661138750691,0.4919702330748633
ALL,13573,0.493406026670596,0.6961477735652821,0.6931809283999384,0.2512153702648385,0.25001675428042336,-0.00479414264801914,0.5045385337899294,0.491287531908893
